tmdbId,title,overview,cast,director
17,The Dark,"AdÃ¨lle goes to Wales with her daughter Sarah to try and patch things up with Sarah's father, but the visit turns tragic when the daughter disappears in the ocean. Then, a young girl named Ebrill, who eerily resembles their daughter, shows up claiming sheâ€™s been dead for 60 years â€” and that Sarah has been taken to the Welsh underworld.","Maria Bello,Sean Bean,Abigail Stone",John Fawcett
136,Freaks,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.","Harry Earles,Olga Baclanova,Daisy Earles",Tod Browning
138,Dracula,"British estate agent Renfield travels to Transylvania to meet with the mysterious Count Dracula, who is interested in leasing a castle in London and is, unbeknownst to Renfield, a vampire. After Dracula enslaves Renfield and drives him to insanity, the pair sail to London together, and as Dracula begins preying on London socialites, the two become the subject of study for a supernaturalist professor, Abraham Van Helsing.","Bela Lugosi,Helen Chandler,David Manners",Karl Freund
170,28 Days Later,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.","Cillian Murphy,Naomie Harris,Brendan Gleeson",Danny Boyle
176,Saw,"Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...","Cary Elwes,Leigh Whannell,Danny Glover",
214,Saw III,"Jigsaw has disappeared. Along with his new apprentice Amanda, the puppet-master behind the cruel, intricate games that have terrified a community and baffled police has once again eluded capture and vanished. While city detective scramble to locate him, Doctor Lynn Denlon and Jeff Reinhart are unaware that they are about to become the latest pawns on his vicious chessboard.","Tobin Bell,Shawnee Smith,Angus Macfadyen",Darren Lynn Bousman
215,Saw II,"When a new murder victim is discovered with all the signs of Jigsaw's hand, Detective Eric Matthews begins a full investigation and apprehends Jigsaw with little effort. But for Jigsaw, getting caught is just another part of his plan. Eight more of his victims are already fighting for their lives and now it's time for Matthews to join the game.","Tobin Bell,Donnie Wahlberg,Shawnee Smith",
229,The Bride of Frankenstein,"After recovering from injuries sustained in the mob attack upon himself and his creation, Dr. Frankenstein falls under the control of his former mentor, Dr. Pretorius, who insists the now-chastened doctor resume his experiments in creating new life. Meanwhile, the Monster remains on the run from those who wish to destroy him without understanding that his intentions are generally good despite his lack of socialization and self-control.","Boris Karloff,Colin Clive,Valerie Hobson",James Whale
234,The Cabinet of Dr. Caligari,"Francis, a young man, recalls in his memory the horrible experiences he and his fiancÃ©e Jane recently went through. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep.","Werner KrauÃŸ,Conrad Veidt,Friedrich FehÃ©r",Robert Wiene
244,King Kong,"Adventurous filmmaker, Carl Denham, sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to displayed on Broadway as Kong, the eighth wonder of the world.","Robert Armstrong,Fay Wray,Bruce Cabot",Ernest B. Schoedsack
274,The Silence of the Lambs,"Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.","Jodie Foster,Anthony Hopkins,Scott Glenn",Jonathan Demme
277,Underworld,"Vampires and werewolves have waged a nocturnal war against each other for centuries. But all bets are off when a female vampire warrior named Selene, who's famous for her strength and werewolf-hunting prowess, becomes smitten with a peace-loving male werewolf, Michael, who wants to end the war.","Kate Beckinsale,Scott Speedman,Michael Sheen",
326,Snakes on a Plane,"America is on the search for the murderer Eddie Kim. Sean Jones must fly to L.A. to testify in a hearing against Kim. Accompanied by FBI agent Neville Flynn, the flight receives some unexpected visitors.","Samuel L. Jackson,Julianna Margulies,Nathan Phillips",David R. Ellis
348,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.","Sigourney Weaver,Tom Skerritt,John Hurt",Ridley Scott
377,A Nightmare on Elm Street,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...","Heather Langenkamp,Robert Englund,John Saxon",
395,AVP: Alien vs. Predator,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.","Sanaa Lathan,Raoul Bova,Lance Henriksen",
431,Cube,"A group of strangers find themselves trapped in a maze-like prison. It soon becomes clear that each of them possesses the peculiar skills necessary to escape, if they don't wind up dead first.","Nicole de Boer,Nicky Guadagni,Maurice Dean Wint",
437,Cube 2: Hypercube,The sequel to the low budget first film Cube. This time the prisoners find them selves in a more advanced cube environment that they must escape from before they are killed. A science fiction film where space and time have more than one path.,"Kari Matchett,Geraint Wyn Davies,Grace Lynn Kung",Andrzej Sekula
