tmdbId,title,overview,cast,director
17,"Dark, The (2005)",AdÃ¨le and her daughter Sarah are traveling on the Welsh coastline to see her husband James when Sarah disappears. A different but similar looking girl appears who says she died in a past time. AdÃ¨le tries to discover what happened to her daughter as she is tormented by Celtic mythology from the past.,"Maria Bello,Sean Bean,Abigail Stone",John Fawcett
136,Freaks (1932),"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.","Harry Earles,Olga Baclanova,Daisy Earles",Tod Browning
138,Dracula (1931),The legend of vampire Count Dracula begins here with this original 1931 Dracula film from Bela Lugosi.,"Bela Lugosi,Helen Chandler,David Manners",Karl Freund
170,28 Days Later (2002),"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.","Cillian Murphy,Naomie Harris,Brendan Gleeson",Danny Boyle
176,Saw (2004),"Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...","Cary Elwes,Leigh Whannell,Danny Glover",
214,Saw III (2006),"Jigsaw has disappeared. Along with his new apprentice Amanda, the puppet-master behind the cruel, intricate games that have terrified a community and baffled police has once again eluded capture and vanished. While city detective scramble to locate him, Doctor Lynn Denlon and Jeff Reinhart are unaware that they are about to become the latest pawns on his vicious chessboard.","Tobin Bell,Shawnee Smith,Angus Macfadyen",Darren Lynn Bousman
215,Saw II (2005),"When a new murder victim is discovered with all the signs of Jigsaw's hand, Detective Eric Matthews begins a full investigation and apprehends Jigsaw with little effort. But for Jigsaw, getting caught is just another part of his plan. Eight more of his victims are already fighting for their lives and now it's time for Matthews to join the game...","Tobin Bell,Donnie Wahlberg,Shawnee Smith",
229,"Bride of Frankenstein, The (Bride of Frankenstein) (1935)","Bride of Frankenstein begins where James Whale's Frankenstein from 1931 ended. Dr. Frankenstein has not been killed as previously portrayed and now he wants to get away from the mad experiments. Yet when his wife is kidnapped by his creation, Frankenstein agrees to help him create a new monster, this time a woman.","Boris Karloff,Colin Clive,Valerie Hobson",James Whale
234,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)","The Cabinet of Dr. Caligari is eerie and expressionistic, silent and surreal. It has become not only a classic of German Expressionist cinema, but a landmark in film history, with creative scenery and an unusual ending.","Werner KrauÃŸ,Conrad Veidt,Friedrich FehÃ©r",Robert Wiene
244,King Kong (1933),An adventure film about a film crew in search of a monster on a remote island. The crew finds King Kong and decides to take him back to New York as a money making spectacle. The film is a masterpiece of Stop-Motion in filmmaking history and inspired a line of King Kong films.,"Robert Armstrong,Fay Wray,Bruce Cabot",Ernest B. Schoedsack
